Symbol,Name,Market Cap,Country,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,96688623.00,China,Miscellaneous,Service to the Health Industry
AAL,American Airlines Group Inc. Common Stock,14251532993.00,United States,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,86971231.00,United States,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,236923616.00,United States,Technology,Semiconductors
AAON,AAON Inc. Common Stock,3202740000.00,United States,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,2307773327400.00,United States,Technology,Computer Manufacturing
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,1977821007.00,United States,Transportation,Transportation Services
ABCB,Ameris Bancorp Common Stock,3697160207.00,United States,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,5619002917.00,Canada,,
ABCM,Abcam plc American Depositary Shares,4353556205.00,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,168818607.00,United States,Health Care,Major Pharmaceuticals
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,189652316.00,United States,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,52164718.00,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,ABIOMED Inc. Common Stock,14111509298.00,United States,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,89263039378.00,United States,Capital Goods,Industrial Machinery/Components
ABST,Absolute Software Corporation Common Stock,710972029.00,Canada,,
ABTX,Allegiance Bancshares Inc. Common Stock,805907789.00,United States,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,328749394.00,Canada,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,4191885372.00,United States,Health Care,Major Pharmaceuticals
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,419175000.00,United States,Finance,Business Services
ACB,Aurora Cannabis Inc. Common Shares,1803595459.00,Canada,Consumer Durables,Specialty Chemicals
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,60842700.00,Hong Kong,Miscellaneous,Business Services
ACBI,Atlantic Capital Bancshares Inc. Common Stock,529064816.00,United States,Finance,Major Banks
ACCD,Accolade Inc. Common Stock,3482280433.00,United States,,
ACER,Acer Therapeutics Inc. Common Stock (DE),42644527.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,190021332.00,United States,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,286637500.00,United States,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,15862229883.00,Bermuda,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,5883294347.00,United States,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,443995738.00,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHV,Achieve Life Sciences Inc. Common Shares,78908118.00,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIU,AC Immune SA Common Stock,594298710.00,Switzerland,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc. Common Stock,4511559648.00,United States,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,1314427971.00,United States,Technology,Industrial Machinery/Components
ACMR,ACM Research Inc. Class A Common Stock,1968519886.00,United States,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,244194860.00,United States,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,57735745.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACQR,Independence Holdings Corp. Class A Ordinary Share,607488623.00,United States,Finance,Business Services
ACRS,Aclaris Therapeutics Inc. Common Stock,1052271544.00,United States,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,169126259.00,United States,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A Common Stock,59036623.00,Canada,,
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,339037188.00,United States,,
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,320809239.00,United States,Miscellaneous,Multi-Sector Companies
ACVA,ACV Auctions Inc. Class A Common Stock,3809158313.00,United States,Technology,EDP Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,75279745.00,United States,,
ADAG,Adagene Inc. American Depositary Shares,620130161.00,China,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,676413777.00,United Kingdom,Health Care,Major Pharmaceuticals
ADBE,Adobe Inc. Common Stock,277077480000.00,United States,Technology,Computer Software: Prepackaged Software
ADER,26 Capital Acquisition Corp. Class A Common Stock,333093750.00,United States,,
ADES,Advanced Emissions Solutions Inc. Common Stock,133874810.00,United States,Energy,Coal Mining
ADI,Analog Devices Inc. Common Stock,61837521072.00,United States,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,45144737.00,United States,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc Common Stock,220486160.00,United States,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation Common Stock,183129953.00,United States,Health Care,Major Pharmaceuticals
ADMS,Adamas Pharmaceuticals Inc. Common Stock,237484337.00,United States,Health Care,Major Pharmaceuticals
ADN,Advent Technologies Holdings Inc. Class A Common Stock,190892863.00,United States,Miscellaneous,Business Services
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,118630200.00,United States,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,83980295635.00,United States,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,5669973208.00,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSK,Autodesk Inc. Common Stock,63526644573.00,United States,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Inc. Common Stock,1026956945.00,United States,Capital Goods,Telecommunications Equipment
ADTX,ADiTx Therapeutics Inc. Common Stock,40147644.00,United States,Consumer Durables,Specialty Chemicals
